time,temperature,humidity,light

2026-06-06 12:40:57,25.68,51.09,39.17
2026-06-06 12:41:04,25.66,50.97,39.17
2026-06-06 12:41:11,25.6,51.01,39.17
2026-06-06 12:41:18,25.63,51.0,39.17
2026-06-06 12:41:25,25.65,50.93,40.0
2026-06-06 12:41:32,25.65,50.88,40.0
2026-06-06 12:41:39,25.64,50.92,39.17
2026-06-06 12:41:46,25.67,50.89,39.17
2026-06-06 12:41:53,25.67,50.81,40.0
2026-06-06 12:42:01,25.66,50.74,40.0
2026-06-06 12:42:08,25.68,50.75,40.0
2026-06-06 12:42:15,25.69,50.74,39.17
2026-06-06 12:42:22,25.67,50.74,40.0
2026-06-06 12:42:29,25.68,50.8,40.0
2026-06-06 12:42:36,25.7,50.84,40.0
2026-06-06 12:42:43,25.71,50.91,39.17
2026-06-06 12:42:50,25.74,50.95,39.17
2026-06-06 12:42:57,25.77,51.08,40.0
2026-06-06 12:43:04,25.77,50.92,210.0
2026-06-06 12:43:11,25.75,50.98,46.67
2026-06-06 12:43:18,25.74,50.85,46.67
2026-06-06 12:43:26,25.73,50.67,46.67
2026-06-06 12:43:33,25.75,50.58,40.83
2026-06-06 12:43:40,25.76,50.66,43.33
2026-06-06 12:43:47,25.65,50.29,46.67
2026-06-06 12:43:54,25.68,50.58,46.67
2026-06-06 15:33:40,23.99,56.79,195.0
2026-06-06 15:33:46,24.0,56.88,195.0
2026-06-06 15:33:52,24.04,58.34,388.33
2026-06-06 15:33:58,24.05,58.11,142.5
2026-06-06 15:34:04,24.08,58.07,158.33
2026-06-06 15:34:09,24.08,57.6,460.0
2026-06-06 15:34:15,24.11,57.13,455.83
2026-06-06 15:34:21,24.14,56.81,458.33
2026-06-06 15:34:27,24.14,56.52,458.33
2026-06-12 14:53:32,22.66,72.54,176.67
2026-06-12 14:53:37,22.64,72.13,176.67
2026-06-12 14:53:43,22.64,71.9,176.67
2026-06-12 14:53:49,22.67,72.29,176.67
2026-06-12 14:53:55,22.65,72.52,176.67
2026-06-12 14:54:01,22.67,72.62,176.67
2026-06-12 14:54:06,22.65,72.75,176.67
2026-06-12 14:54:12,22.61,72.6,176.67
2026-06-12 15:02:28,22.02,67.3,184.17
2026-06-12 15:02:34,22.04,67.29,184.17
2026-06-12 15:02:39,22.05,67.31,184.17
2026-06-12 15:02:45,22.02,67.18,184.17
2026-06-12 15:02:51,22.04,66.98,185.0
2026-06-12 15:02:57,22.04,66.9,184.17
2026-06-12 15:03:03,22.06,66.86,184.17
2026-06-12 15:03:08,22.08,66.89,184.17
2026-06-12 15:03:14,22.1,66.86,184.17
2026-06-12 15:03:20,22.08,66.72,184.17
2026-06-12 15:03:26,22.05,66.54,184.17
2026-06-12 15:03:32,22.08,66.58,179.17
2026-06-12 15:03:37,22.08,66.47,184.17
2026-06-12 15:03:43,22.1,66.47,174.17
2026-06-12 15:03:49,22.09,66.45,175.83
2026-06-12 15:03:55,22.08,66.44,175.0
2026-06-12 15:04:01,22.13,66.53,178.33
2026-06-12 15:04:06,22.18,66.73,175.83
2026-06-12 15:04:12,22.24,67.04,175.83
2026-06-12 15:04:18,22.27,67.66,177.5
2026-06-12 15:04:24,22.33,67.62,165.83
2026-06-12 15:04:30,22.36,67.56,171.67
2026-06-12 15:04:35,22.38,67.52,177.5
2026-06-12 15:04:41,22.38,67.41,177.5
